primaryTitle,startYear,endYear,duration,averageRating,rating_100,rating_category,numVotes,votes_normalized,genres,directors
Ishq Express,2022,2022,0,7.6,76.0,High,1436,-0.27765784522794906,Romance,"Satish Raj Kasireddi, Tanmai Rastogi, Saurabh Swamy"
Honey and Clover,2005,2006,1,7.8,78.0,High,1435,-0.27766867806924633,"Animation, Comedy, Drama","Kenichi Kasai, René Veilleux, Nagi Noda, Yoshitaka Koyama, Daisuke Takashima, Ken Andô, Yoshihisa Matsumoto, Hideki Tachibana, Kôji Masunari, Tatsuyuki Nagai, Katsuichi Nakayama, Kazunobu Shimizu, Kazuo Yamada, Tsuyoshi Yoshimoto"
Space Pirate Captain Harlock,1978,1979,1,7.8,78.0,High,1431,-0.27771200943443547,"Action, Adventure, Animation","Rintarô, Akinori Orai, Masayuki Ôzeki, Masayuki Akehi, Jôhei Matsuura, Kazumi Fukushima, Tokiji Kaburagi, Kaori Kamiyama, Takenori Kawada, Katsumi Minokuchi"
The Bronx Is Burning,2007,2007,0,7.8,78.0,High,1430,-0.27772284227573274,"Drama, Sport",Jeremiah S. Chechik
Judge John Deed,2001,2007,6,7.6,76.0,High,1428,-0.2777445079583273,"Crime, Drama, Mystery","Andy Hay, Steve M Kelly, Jonny Campbell, Darcia Martin, Jane Powell, GF Newman, David Kerr, Tristram Powell, Deborah Paige, Mary McMurray, Alrick Riley, David Kew, Adam Trotman"
Huntik: Secrets and Seekers,2009,2012,3,8.2,82.0,High,1425,-0.27777700648221915,"Action, Adventure, Animation","Simone Borselli, Iginio Straffi"
Jijaji Chhat Par Hai,2018,2020,2,7.9,79.0,High,1425,-0.27777700648221915,"Comedy, Romance",Shashank Bali
The Littlest Hobo,1979,1985,6,7.7,77.0,High,1425,-0.27777700648221915,"Adventure, Drama, Family","Allan Eastman, Mario Azzopardi, Joseph L. Scanlan, Alan Simmonds, Jan Darnley-Smith, Jack Nixon-Browne, Stan Olsen, Al Waxman, Richard Gilbert, Peter Pearson, Ken Girotti, Anthony Perris, George McCowan, Alan Erlich, Eleanore Lindo"
The Veil,2021,2021,0,7.6,76.0,High,1425,-0.27777700648221915,"Action, Crime, Drama",Kim Sung-yong
The Comeback: 2004 Boston Red Sox,2024,2024,0,8.2,82.0,High,1422,-0.27780950500611096,"Documentary, Sport",Colin Barnicle
The King of Pigs,2022,2022,0,7.9,79.0,High,1421,-0.2778203378474083,"Crime, Drama, Mystery",Dae-jin Kim
The Abbott and Costello Show,1952,1957,5,8.1,81.0,High,1420,-0.27783117068870555,"Comedy, Family, Mystery",Jean Yarbrough
Ruby Gloom,2006,2008,2,7.7,77.0,High,1418,-0.2778528363713001,"Animation, Comedy, Family",Robin Budd
SAS: Who Dares Wins,2015,2023,8,8.3,83.0,High,1415,-0.27788533489519196,Reality-TV,"Phil Turner, Alex Kiehl, Freddie Foss-Smith, Max Shapira, Christopher Amess, Ollie Elliott, Chris McLaughlin, Dominique Foster, Caroline O'Shaughnessy, Sabeh Bali, Ed Fenwick, Jake Jones, Philip McCreery, Amy Lee-Jones, Amy Ruffell"
Melloga Chejil,2019,2019,0,8.0,80.0,High,1414,-0.27789616773648923,"Comedy, Romance","Lee Byeong-heon, Kim Hye-Yeong"
My Fair Princess,1998,1999,1,7.8,78.0,High,1413,-0.2779070005777865,"Action, Comedy, Drama",Shu-Pei Sun
The New Years,2024,2024,0,8.0,80.0,High,1412,-0.27791783341908377,Drama,"Rodrigo Sorogoyen, David Martín de los Santos, Sandra Romero Acevedo"
The Light in Your Eyes,2019,2019,0,7.8,78.0,High,1412,-0.27791783341908377,"Comedy, Drama, Fantasy",Suk-Yoon Kim
The Mole,2001,2008,7,7.7,77.0,High,1409,-0.27795033194297564,"Adventure, Game-Show, Mystery","Sean Travis, Craig Borders, Paul Morzella"
Dragon Quest: The Adventure of Dai,2020,2022,2,7.9,79.0,High,1408,-0.2779611647842729,"Action, Adventure, Animation","Kazuya Karasawa, Hiroyuki Kakudô"
Why Her,2022,2022,0,7.6,76.0,High,1404,-0.27800449614946204,"Drama, Mystery, Romance",Soo-Jin Park
The F.B.I. Files,1998,2009,11,7.9,79.0,High,1399,-0.2780586603559484,"Biography, Crime, Documentary","Joe Wiecha, Stuart Taylor, David Haycox, Jeffrey Fine, Bertrand Morin, John Kavanaugh, J. Darin Wales, Clinton Jay High Jr., Greg Francis, Robert H. Gardner, Susan Mann, Gary Meyers, Tim Russ, Darrell Stone, Louie Maggiotto, Craig Sexton, John Wells, Darin Wales"
Kisah untuk Geri,2021,2021,0,8.0,80.0,High,1397,-0.278080326038543,"Drama, Romance",Monty Tiwa
Lehiyot Ita,2013,2021,8,7.8,78.0,High,1395,-0.27810199172113753,"Comedy, Romance",Oded Ruskin
Dogs,2018,2021,3,7.9,79.0,High,1394,-0.2781128245624348,"Documentary, History, Reality-TV","Amy Berg, Heidi Ewing, Richard Hankin, Daniel Lindsay, T.J. Martin, Roger Ross Williams, Kristi Jacobson, Daniel Junge, Steven Leckart, Rudy Valdez"
Barracuda,2016,2016,0,7.8,78.0,High,1394,-0.2781128245624348,"Drama, Sport",Robert Connolly
Benny Hill,1962,1963,1,7.6,76.0,High,1391,-0.27814532308632667,Comedy,-
"I'm Sorry, I Love You",2004,2004,0,8.3,83.0,High,1389,-0.2781669887689212,"Drama, Romance",Lee Hyeong-min
Da Vinci's Inquest,1998,2006,8,8.1,81.0,High,1388,-0.2781778216102185,"Crime, Drama, Mystery","Stephen Surjik, David Frazee, Chris Haddock, Anne Wheeler, Alan Simmonds, George Mihalka, John Fawcett, Lee Knippelberg, Tom Braidwood, Scott Summersgill, Nicholas Campbell, Brad Turner, William Fruet, John L'Ecuyer, A.J. Vesak, Ian Tracey, David Straiton, Mairzee Almas, Donnelly Rhodes, Keith Behrman, Robert Cuffley, Lynne Stopkewich, Sturla Gunnarsson, Richard Martin, Steve DiMarco, Stuart Margolin, Morris Panych, Stefan Pleszczynski, Sean Ryerson, Mina Shum, Charles Martin Smith"
The Girl from Tomorrow,1991,1992,1,7.9,79.0,High,1387,-0.2781886544515158,"Adventure, Drama, Family","Kathy Mueller, Noel Price"
