primaryTitle,startYear,endYear,duration,averageRating,rating_100,rating_category,numVotes,votes_normalized,genres,directors
Kim's Convenience,2016,2021,5,8.2,82.0,High,26201,-0.009382530500804488,Comedy,"Peter Wellington, Renuka Jeyapalan, Siobhan Devine, Dawn Wilkinson, James Genn, Aleysa Young, Sherren Lee, Weyni Mengesha, Justin Wu"
Descendants of the Sun,2016,2016,0,8.2,82.0,High,25314,-0.01899126073149204,"Action, Comedy, Drama","Baek Sang-Hoon, Lee Eung-bok"
Trigun,1998,1998,0,8.2,82.0,High,25305,-0.019088756303167562,"Action, Adventure, Animation",Satoshi Nishimura
Conan,2010,2021,11,8.2,82.0,High,25288,-0.019272914605221327,"Comedy, Music, Talk-Show","Billy Bollotino, Allan Kartun, Mike Sweeney, Iqbal Hans, Paul B. Cummings, Carlos Gracia"
Undone,2019,2022,3,8.2,82.0,High,24996,-0.02243610426402715,"Animation, Drama, Fantasy",Hisko Hulsing
Catastrophe,2015,2019,4,8.2,82.0,High,24787,-0.024700168095158716,Comedy,"Ben Taylor, Jim O'Hanlon"
Dororo,2019,2019,0,8.2,82.0,High,24249,-0.030528236713095472,"Action, Adventure, Animation","Kazuhiro Furuhashi, Teruyuki Omine, Fumihiro Yoshimura, Kôichi Hatsumi, Hisatoshi Shimizu, Takuo Suzuki, Nobuyoshi Arai, Masami Hata, Takafumi Ishida, Kana Kawana, Osamu Kobayashi, Hiromichi Matano, Yuki Nishihata, Takeru Satoh, Daisuke Tokudo"
The Get Down,2016,2017,1,8.2,82.0,High,24106,-0.03207733301860654,"Drama, Music, Musical","Ed Bianchi, Mack Williams, Andrew Bernstein, Michael Dinner, Baz Luhrmann, Sterling Milan, Clark Johnson, Lawrence Trilling"
Friday Night Dinner,2011,2020,9,8.2,82.0,High,24009,-0.033128118624442725,Comedy,"Martin Dennis, Steve Bendelack, Robert Popper"
Hustle,2004,2012,8,8.2,82.0,High,23965,-0.03360476364152305,"Crime, Drama, Mystery","Alrick Riley, Otto Bathurst, Roger Goldby, Bharat Nalluri, Minkie Spiro, John Strickland, S.J. Clarkson, Colm McCarthy, Lee MacIntosh, Stefan Schwartz, Julian Simpson, James Strong, Iain B. MacDonald, Sarah O'Gorman, Luke Watson, Colin Teague, Rob Bailey, John McKay, Adrian Lester"
Caliphate,2020,2020,0,8.2,82.0,High,23550,-0.03810039277989434,"Crime, Drama, Thriller",Goran Kapetanovic
Vera,2011,2025,14,8.2,82.0,High,22577,-0.048640747362148,"Crime, Drama, Mystery","Paul Gay, William Sinclair, Claire Winyard, Peter Hoar, Paul Whittington, Thaddeus O'Sullivan, Daikin Marsh, Marek Losey, Jamie Childs, Lee Haven Jones, Carolina Giammetta, Rob Evans, Farren Blackburn, Adrian Shergold, Edward Bazalgette, Julian Holmes, Paul Cotter, Dusan Lazarevic, David Richards, Stewart Svaasand, Jill Robertson, John Hayes, Louise Hooper, Chris Baugh, David Leon, Lawrence Gough, Declan O'Dwyer, Delyth Thomas, Christiana Ebohon-Green, Chris Foggin, Waris Islam, Khurrum M. Sultan, Jermain Julien"
Looking,2014,2015,1,8.2,82.0,High,22478,-0.04971319865057874,"Comedy, Drama, Romance","Andrew Haigh, Jamie Babbit, Ryan Fleck, Joe Swanberg, Craig Johnson"
Itaewon Class,2020,2020,0,8.2,82.0,High,22473,-0.04976736285706514,"Drama, Romance",Kim Seong-yoon
Breathe,2018,2018,0,8.2,82.0,High,22353,-0.05106730381273876,"Crime, Drama, Thriller",Mayank Sharma
Absolutely Fabulous,1992,2012,20,8.2,82.0,High,22328,-0.051338124845170766,Comedy,"Bob Spiers, Dewi Humphreys, Christine Gernon, Mandie Fletcher, Tristram Shapeero, Ed Bye"
The 10th Kingdom,2000,2000,0,8.2,82.0,High,21098,-0.06466251964082544,"Adventure, Comedy, Family","David Carson, Herbert Wise"
Masum,2017,2017,0,8.3,83.0,High,21020,-0.06550748126201329,"Crime, Drama, Mystery",Seren Yüce
The Kingdom,1994,2022,28,8.2,82.0,High,20945,-0.06631994435930931,"Comedy, Drama, Fantasy","Lars von Trier, Morten Arnfred"
Who Is America?,2018,2018,0,8.3,83.0,High,20933,-0.06644993845487666,Comedy,"Daniel Gray Longino, Dan Mazer, Todd Schulman, Sacha Baron Cohen, Payman Benz, Nathan Fielder"
Queen of Tears,2024,2024,0,8.2,82.0,High,20557,-0.07052308678265404,"Comedy, Drama, Romance","Kim Hee-won, Jang Young-woo"
Scooby-Doo! Mystery Incorporated,2010,2013,3,8.2,82.0,High,20040,-0.0761236657333479,"Adventure, Animation, Comedy","Victor Cook, Curt Geda, Michael Goguen, Lauren Montgomery, Doug Murphy"
The Adventures of Tintin,1991,1992,1,8.3,83.0,High,19851,-0.07817107273853387,"Action, Adventure, Animation",Stéphane Bernasconi
Patriot,2015,2018,3,8.2,82.0,High,19526,-0.08169174616014993,"Comedy, Drama, Thriller","Steve Conrad, Tucker Gates, Ted Griffin, Michael Trim, James Whitaker"
Kaiju No. 8,2024,2024,0,8.3,83.0,High,19459,-0.0824175465270677,"Action, Adventure, Animation","Tomomi Kamiya, Shigeyuki Miya, Hirotaka Mori"
Late Night with Conan O'Brien,1993,2009,16,8.2,82.0,High,19376,-0.08331667235474197,"Comedy, Music, Talk-Show","Allan Kartun, Liz Plonka, Dana Calderwood, Morris Abraham, Louis C.K."
MI-5,2002,2011,9,8.3,83.0,High,19348,-0.08361999191106581,"Action, Crime, Drama","Alrick Riley, Bharat Nalluri, Sam Miller, Omar Madha, Julian Holmes, Edward Hall, Justin Chadwick, Julian Simpson, Bill Anderson, Jonny Campbell, Cilla Ware, Antonia Bird, Jeremy Lovering, Kenneth Glenaan, Andy Hay, Charles Beeson, Brendan Maher, Stefan Schwartz, Peter Hoar, Colm McCarthy, Michael Caton-Jones, Paul Whittington, Rob Bailey, Andy Wilson, Ciaran Donnelly"
In Treatment,2008,2021,13,8.3,83.0,High,18804,-0.08951305757678625,Drama,"Paris Barclay, Rodrigo García, Jim McKay, Melanie Mayron, Ryan Fleck, Ali Selim, Christopher Misiano, Janicza Bravo, Uta Briesewitz, Julian Farino, Karyn Kusama, Michelle MacLaren, Jessica Yu, Courtney Hunt, Terry George, Jean de Segonzac, Hagai Levi, Norberto Barba, Warren Leight, Joshua Marston, Michael Pressman, Richard Schiff, Alan Taylor, Patricia Rozema"
Metalocalypse,2006,2023,17,8.3,83.0,High,18645,-0.0912354793430538,"Animation, Comedy, Music","Jon Schnepp, Chris Prynoski, Mark Brooks, Brendon Small, Tommy Blacha, Mike Roush, Felipe Salazar"
Miss Fisher's Murder Mysteries,2012,2015,3,8.2,82.0,High,18408,-0.09380286273050922,"Crime, Drama, History","Tony Tilse, Daina Reid, Peter Andrikidis, David Caesar, Kate Dennis, Emma Freeman, Clayton Jacobson, Ken Cameron, Sian Davies, Declan Eames, Catherine Millar, Mat King"
The Bugs Bunny/Looney Tunes Comedy Hour,1985,1986,1,8.3,83.0,High,18066,-0.09750769445417905,"Animation, Comedy, Family","Friz Freleng, Chuck Jones, Rudy Larriva, Robert McKimson"
Call My Agent!,2015,2020,5,8.3,83.0,High,17681,-0.10167833835363194,"Comedy, Drama","Antoine Garceau, Marc Fitoussi, Lola Doillon, Cédric Klapisch, Jeanne Herry, Laurent Tirard"
The Avengers: Earth's Mightiest Heroes,2010,2024,14,8.3,83.0,High,17099,-0.10798305198864902,"Action, Adventure, Animation","Frank Paur, Ciro Nieli, Vinton Heuck, Sebastian Montes, Boyd Kirkland, Roy Burdine, Steven E. Gordon, Gary Hartle"
Treme,2010,2013,3,8.3,83.0,High,16393,-0.11563103794452885,"Drama, Music","Anthony Hemingway, Ernest R. Dickerson, Agnieszka Holland, Jim McKay, Brad Anderson, Simon Cellan Jones, Adam Davidson, Roxann Dawson, Tim Robbins, Alex Hall, Daniel Attias, Christine Moore, Rob Bailey, Alex Zakrzewski"
This Is England '86,2010,2010,0,8.3,83.0,High,15124,-0.12937791355077743,"Comedy, Crime, Drama","Tom Harper, Shane Meadows"
Weightlifting Fairy Kim Bok-Joo,2016,2017,1,8.3,83.0,High,14918,-0.13160947885801716,"Comedy, Romance",Hyun Jong Oh
Bottom,1991,1995,4,8.3,83.0,High,14745,-0.13348356040244666,Comedy,"Ed Bye, Bob Spiers, Paul Jackson"
A Small Light,2023,2023,0,8.4,84.0,High,14307,-0.13822834489065539,"Biography, Drama, History","Susanna Fogel, Tony Phelan, Leslie Hope"
Ranking of Kings,2021,2022,1,8.4,84.0,High,13746,-0.14430556885842957,"Action, Adventure, Animation","Yôsuke Hatta, Shouta Goshozono"
Jeeves and Wooster,1990,1993,3,8.4,84.0,High,13486,-0.14712210759572245,Comedy,"Ferdinand Fairfax, Simon Langton, Robert Young"
Steins;Gate 0,2018,2018,0,8.4,84.0,High,12900,-0.15347015259592864,"Animation, Drama, Mystery","Kenichi Kawamura, Colleen Clinkenbeard"
Great Teacher Onizuka,1999,2000,1,8.5,85.0,High,12827,-0.15426095001063012,"Animation, Comedy, Drama","Noriyuki Abe, Akihiro Enomoto"
The League of Gentlemen,1999,2017,18,8.4,84.0,High,12738,-0.15522507288608806,"Comedy, Horror",Steve Bendelack
The Dick Van Dyke Show,1961,1966,5,8.4,84.0,High,12508,-0.1577166263844625,"Comedy, Family","Jerry Paris, John Rich, Howard Morris, Sheldon Leonard, Alan Rafkin, Lee Philips, Robert Butler, James Komack, Coby Ruskin, Hal Cooper, Peter Baldwin, Theodore J. Flicker, Richard Erdman, Stanley Z. Cherry, Claudio Guzmán, James Niver"
Healer,2014,2015,1,8.4,84.0,High,12445,-0.15839909538619115,"Action, Comedy, Crime","Kim Jin Woo, Lee Jung-seob"
Saint Seiya: Knights of the Zodiac,1986,1989,3,8.4,84.0,High,11829,-0.16507212562531576,"Action, Adventure, Animation","Kazuhito Kikuchi, Kôzô Morishita, Susumu Ishizaki, Shigeyasu Yamauchi, Katsumi Minokuchi, Masayuki Akehi, Hiromichi Matano, Tomoharu Katsumata, Masahiro Hosoda, Masao Itô, Kazumasa Horikawa, Hiroyuki Yokoyama, Shô Takagi, Shigenori Kageyama, Shin'ichi Masaki, Atsutoshi Umezawa, Jun Fukuda, Yasuhito Kikuchi"
Staged,2020,2023,3,8.5,85.0,High,11093,-0.173045096820114,"Comedy, Drama",Simon Evans
Fruits Basket,2019,2021,2,8.6,86.0,High,11065,-0.17334841637643786,"Animation, Comedy, Drama","Yoshihide Ibata, Takatoshi Suzuki, Yoshihiro Nishio, Katsuhiko Bizen, Tomoko Hiramuki, Takashi Igari, Hiroaki Kudou, Tomomi Ikeda, Takahiro Kawakoshi, Tatsuya Nokimori, Masato Suzuki, Daisuke Takashima, Yûji Tokuno, Hideki Tonokatsu, Yasuo Tsuchiya, Akira Yamada"
Move to Heaven,2021,2021,0,8.5,85.0,High,11046,-0.17355424036108616,Drama,Sung-ho Kim
Hunter x Hunter,1999,2001,2,8.6,86.0,High,10836,-0.17582913703351502,"Action, Adventure, Animation","Kazuhiro Furuhashi, Shunji Yoshida, Shinya Hanai, Masahiro Hosoda, Housei Suzuki, Yoshizo Tsuda, Yukihiro Matsushita, Toshiyuki Kato, Keitarô Motonaga, Satoshi Saga, Shinpei Miyashita, Takayoshi Suzuki, Shinobu Tagashira"
Signal,2016,2016,0,8.5,85.0,High,10579,-0.17861317724691603,"Crime, Drama, Fantasy",Kim Won-seok
Merlí,2015,2018,3,8.6,86.0,High,10453,-0.17997811525037333,"Comedy, Drama, Romance","Eduard Cortés, Menna Fité"
The Bugs Bunny/Road Runner Hour,1968,1978,10,8.5,85.0,High,10389,-0.18067141709339926,"Animation, Comedy","Gerry Chiniquy, Friz Freleng, Chuck Jones, Rudy Larriva, Robert McKimson, Maurice Noble, Hawley Pratt"
The Untold History of the United States,2012,2013,1,8.6,86.0,High,9937,-0.18556786135976994,"Documentary, History, War",Oliver Stone
Adventure Time: Distant Lands,2020,2021,1,8.6,86.0,High,9108,-0.19454828679521524,"Action, Adventure, Animation","Miki Brewster, Jeff Liu"
Hospital Playlist,2020,2021,1,8.7,87.0,High,9097,-0.19466744804948533,"Comedy, Drama, Romance",Shin Won-ho
Aranyélet,2015,2018,3,8.7,87.0,High,8846,-0.19738649121510266,"Action, Crime, Drama","Zsombor Dyga, Áron Mátyássy"
One Strange Rock,2018,2018,0,8.7,87.0,High,8461,-0.20155713511455553,Documentary,"Nick Shoolingin-Jordan, Graham Booth, Nat Sharman, Nic Stacey, Alice Jones, Christopher Riley"
Slam Dunk,1993,1996,3,8.7,87.0,High,8375,-0.20248875946612163,"Animation, Comedy, Drama","Nobutaka Nishizawa, Junji Shimizu, Toshihiko Arisako, Kazuhisa Takenouchi"
Atatürk 1881-1919,2024,2024,0,8.8,88.0,High,7857,-0.20810017125811278,"Biography, Drama, History",Mehmet Ada Öztekin
World War II in Colour,2009,2009,0,8.7,87.0,High,7746,-0.2093026166421109,"Documentary, History, War",-
Forensic Files,1996,2011,15,8.8,88.0,High,7716,-0.2096276018810293,"Crime, Documentary","Michael Jordan, Richard Monahan, Mike Werteen"
The Carol Burnett Show,1967,1978,11,8.7,87.0,High,7713,-0.20966010040492114,"Comedy, Family","Dave Powers, Clark Jones"
The Other Me,2019,2023,4,8.9,89.0,High,7610,-0.210775883058541,"Crime, Drama, Mystery",Sotiris Tsafoulias
Anthony Bourdain: Parts Unknown,2013,2018,5,8.9,89.0,High,7352,-0.21357075611323928,"Adventure, Documentary","Tom Vitale, Morgan Fallon, Michael Steed, Sally Freeman, Toby Oppenheimer, Erik Osterholm, Ben Selkow, Nick Brigden, Ryan Miller, Jesse Sweet, Jared Andrukanis, Jeff Allen, Asia Argento, Steve Rivo"
Leah Remini: Scientology and the Aftermath,2016,2019,3,8.9,89.0,High,6625,-0.22144623173636202,"Documentary, History, Mystery",Hal Grant
Legend of the Galactic Heroes,1988,1997,9,9.0,90.0,High,6033,-0.2278592737843519,"Action, Animation, Drama","Noboru Ishiguro, Masatoshi Tahara, Fumihiro Ueno, Takashi Asami, Mitsutaka Noshitani, Hanyû Raisen, Toshikatsu Tokoro, Kenichi Maejima, Ken'ichi Imaizumi, Shinichiro Kimura, Tatsuya Okamoto, Shigeru Yamazaki, Akira Mano, Hiroshi Yamada, Masato Kitagawa, Tomokazu Kôgo, Shigeru Kimiya, Satoshi Kimura, Akio Sakai, Shinji Takagi, Shigeru Yazaki, Daichi Katô, Yoshihiro Ueda, Tomomasa Yamazaki, Kunitoshi Okajima, Yasuo Iwamoto, Yoshito Hata, Norifumi Kiyozumi, Keitarô Motonaga, Makoto Nagao, Satoru Namekawa, Kazuo Tomisawa, Hideki Tonokatsu, Katsuhisa Yamada, Masayuki Ôzeki, Kume Issei, Kazunari Kume, Yasuhiro Matsumura, Kiyoshi Nakamura, Kazunori Tanabashi, Hiroshi Kawashima, Yasuhiro Kuroda, Ryô Natsuki, Mihiro Yamaguchi, Kazu Yokota, Shinya Hanai, Katsuma Kanazawa, Toshiya Shinohara, Toshimasa Suzuki"
The War,2007,2007,0,9.0,90.0,High,5865,-0.22967919112229498,"Documentary, History, War","Ken Burns, Lynn Novick"
Dynasties,2018,2022,4,9.1,91.0,High,5348,-0.23527977007298884,Documentary,"Simon Blakeney, Will Lawson, Nick Lyon, Rosie Thomas, Theo Webb, Emma Napper"
Devon Ke Dev... Mahadev,2011,2014,3,9.3,93.0,High,5242,-0.23642805125050054,"Action, Drama, Fantasy","Nikhil Sinha, Hardik Gajjar, J.P. Sharma, Ismail Umar Khan, Pawan Pratap Singh, Gautam Anil Nagrath, Khazaan Panesar, Maanish Singh, Govind Agrawal, Pradeep P Jadhav"
9/11: One Day in America,2021,2021,0,9.2,92.0,High,5069,-0.23830213279493004,"Documentary, History",Daniel Bogado
Baseball,1994,2010,16,9.2,92.0,High,4951,-0.2395804080680091,"Documentary, History, Sport","Ken Burns, Lynn Novick"
The Umbrella Academy,2019,2024,5,7.8,78.0,High,302534,2.9840890037005297,"Action, Adventure, Comedy","Jeremy Webb, Paco Cabezas, Ellen Kuras, Stephen Surjik, Sylvain White, Andrew Bernstein, Peter Hoar, Amanda Marsalis, Tom Verica, Cheryl Dunye, Jeff King, Kate Woods, Neville Kidd"
New Girl,2011,2018,7,7.8,78.0,High,254701,2.465921705927725,"Comedy, Romance","Trent O'Donnell, Erin O'Malley, Jake Kasdan, Fred Goss, Max Winkler, Jay Chandrasekhar, Jesse Peretz, Lynn Shelton, Steve Welch, Josh Greenbaum, Russ T. Alsobrook, Peyton Reed, Eric Appel, Tristram Shapeero, Lorene Scafaria, Bill Purple, Christine Gernon, Michael Schultz, Jason Winer, Steve Pink, Michael Spiller, Alec Berg, Elizabeth Meriwether, Alex Hardcastle, Miguel Arteta, John Hamburg, Daniel Attias, Neal Brennan, Nanette Burstein, Larry Charles, Tucker Gates, Troy Miller, Matt Shakman, David Wain, Jason Woliner, Craig Zisk, Andrew Fleming, Nicholas Jasenovec, David Katzenberg, Matt Sohn, Richie Keen, Steven K. Tsuchida, Reginald Hudlin, Zooey Deschanel, Jake Johnson, Dana Fox, Lamorne Morris"
Gotham,2014,2019,5,7.8,78.0,High,246626,2.378446512452187,"Action, Crime, Drama","Rob Bailey, Danny Cannon, T.J. Scott, Eagle Egilsson, Nathan Hope, Louis Shaw Milito, Nick Copus, John Behring, Kenneth Fink, Scott White, Mark Tonderai, Paul A. Edwards, Jeffrey G. Hunt, John Stephens, Ben McKenzie, Oz Scott, Bill Eagles, Hanelle M. Culpepper, Maja Vrvilo, Dermott Downs, Guy Ferland, Karen Gaviola, Tim Hunter, Wendey Stanzler, Larysa Kondracki, Olatunde Osunsanmi, Annabelle K. Frost, Carol Banker, Erin Richards"
Jessica Jones,2015,2019,4,7.8,78.0,High,232882,2.2295599416623677,"Action, Crime, Drama","Stephen Surjik, Jennifer Getzinger, Uta Briesewitz, Rosemary Rodriguez, Simon Cellan Jones, S.J. Clarkson, David Petrarca, Mairzee Almas, Neasa Hardiman, John Dahl, Billy Gierhart, Michael Rymer, Deborah Chow, Anna Foerster, Liz Friedlander, Zetna Fuentes, Jennifer Lynch, Millicent Shelton, Minkie Spiro, Jet Wilkinson, Sanford Bookstaver, Sarah Boyd, Anton Cropper, Tim Iacofano, Michael Lehmann, Krysten Ritter, Larry Teng, Liesl Tommy"
Bones,2005,2017,12,7.8,78.0,High,183290,1.6923376760476474,"Crime, Drama, Mystery","Ian Toynton, Dwight H. Little, Jeannot Szwarc, Chad Lowe, David Boreanaz, Milan Cheylov, Allan Kroeker, Tim Southam, Kate Woods, Steven DePaul, Jeff Woolnough, Michael Lange, Randy Zisk, Alex Chapple, Jesús Salvador Treviño, Tony Wharmby, Allison Liddi-Brown, François Velle, Sanford Bookstaver, Craig Ross Jr., Kevin Hooks, Greg Yaitanes, Gordon Lonsdale, Emile B. Levisetti, Rob Hardy, Anne Renton, David Grossman, Tawnia McKiernan, James Whitmore Jr., Scott Lautanen, Jessica Landaw, Brad Turner, Jeffrey Walker, Arlene Sanford, David Hugh Jones, Patrick R. Norris, Donna Deitch, David Duchovny, Karen Gaviola, Joe Napolitano, Jonathan Pontell, Bryan Spicer, Thomas J. Wright, Caleb Deschanel, Marita Grabiak, Mark Helfrich, Daniel Sackheim, Reginald Hudlin, Steve Robin, Silver Tree, Robert Reed Altman, Anton Cropper, Emily Deschanel, Denise Di Novi"
The Sinner,2017,2021,4,7.8,78.0,High,145786,1.2860627960344502,"Crime, Drama, Mystery","Antonio Campos, Adam Bernstein, Tucker Gates, Brad Anderson, Cherien Dabis, Jody Lee Lipes, John David Coles, Radium Cheung, Derek Simonds, Andrew McCarthy, Batan Silva, Colin Bucksey, Rachel Goldberg, Haifaa Al-Mansour, Monica Raymund"
Revenge,2011,2015,4,7.8,78.0,High,127240,1.0851569213350913,"Drama, Mystery, Thriller","Kenneth Fink, J. Miller Tobin, Bobby Roth, Matt Earl Beesley, John Terlesky, Sanford Bookstaver, Colin Bucksey, Matt Shakman, John Scott, Randy Zisk, Allison Liddi-Brown, Wendey Stanzler, Tim Hunter, Phillip Noyce, Christopher Misiano, Helen Hunt, Jennifer Wilkinson, Bethany Rooney, Jamie Babbit, David Grossman, Eric Laneuville, Jennifer Getzinger, Roger Kumble, Stefan Schwartz, Charlie Stratton, Hanelle M. Culpepper, Paul Holahan, Christine Moore, Romeo Tirone, Tara Nicole Weyr, Kate Woods, Rob Greenlea, Alrick Riley, Ty Trullinger"
The Fall of the House of Usher,2023,2023,0,7.9,79.0,High,124737,1.0580423195679989,"Drama, Horror, Mystery","Michael Fimognari, Mike Flanagan"
Elementary,2012,2019,7,7.9,79.0,High,122951,1.0386948650110566,"Crime, Drama, Mystery","Guy Ferland, Christine Moore, John Polson, Ron Fortunato, Seith Mann, Jerry Levine, Larry Teng, Lucy Liu, Aaron Lipstadt, Andrew Bernstein, Sanaa Hamri, Michael Slovis, Michael Pressman, Alex Chapple, Jonny Lee Miller, John David Coles, Peter Werner, Jeremy Webb, Michael Hekmat, Jennifer Lynch, Phil Abraham, Colin Bucksey, Michael Cuesta, Rod Holcomb, David Platt, Rosemary Rodriguez, Adam Davidson, Jean de Segonzac, Helen Shaver, Aidan Quinn, Maja Vrvilo, Jon Michael Hill, Thomas Carter, Michael Smith, Craig Zisk"
The OA,2016,2019,3,7.8,78.0,High,121864,1.026919566520913,"Drama, Fantasy, Mystery","Zal Batmanglij, Andrew Haigh, Anna Rose Holmer"
Weeds,2005,2012,7,7.9,79.0,High,119536,1.0017007119808445,"Comedy, Crime, Drama","Craig Zisk, Michael Trim, Scott Ellis, Julie Anne Robinson, Eric Jewett, Paul Feig, Lev L. Spiro, Tucker Gates, Brian Dannelly, Perry Lang, Ernest R. Dickerson, Michael Pressman, Robert Berlinger, Lee Rose, Arlene Sanford, Burr Steers, Bryan Gordon, Chris Long, Christopher Misiano, Martha Coolidge, Randy Zisk, Paris Barclay, Adam Bernstein, David Steinberg, Lesli Linka Glatter, Jeremy Podeswa, Bethany Rooney, Matt Shakman, Tate Donovan, Michael Uppendahl, David Warren, Phil Abraham, Uta Briesewitz"
The Man in the High Castle,2015,2019,4,7.9,79.0,High,116832,0.9724087091129988,"Drama, Sci-Fi, Thriller","Daniel Percival, John Fawcett, Nelson McCormick, Karyn Kusama, Alex Zakrzewski, Brad Anderson, Ken Olin, Michael Rymer, David Semel, Michael Slovis, Bryan Spicer, Colin Bucksey, Paul Holahan, Chris Long, David Petrarca, Daniel Sackheim, Deborah Chow, Ernest R. Dickerson, Jennifer Getzinger, Steph Green, Meera Menon, Charlotte Brändström, Richard Heus, Julie Hébert, Rachel Leiterman, Frederick E.O. Toye"
My Name Is Earl,2005,2009,4,7.8,78.0,High,112848,0.9292506693846345,Comedy,"Marc Buckland, Eyal Gordin, Michael Fresco, Chris Koch, Gregory Thomas Garcia, Ken Whittingham, Victor Nelli Jr., Craig Zisk, Tamra Davis, Lev L. Spiro, Millicent Shelton, Jason Ensler, Gail Mancuso, John Putch, Allison Liddi-Brown, Mike Mariano, Paul Pedreira"
Dead to Me,2019,2022,3,7.9,79.0,High,105460,0.8492176378803282,"Comedy, Crime, Drama","Rebecca Asher, Silver Tree, Kat Coiro, Geeta Vasant Patel, Minkie Spiro, Abe Sylvia, Amy York Rubin, Tamra Davis, Jennifer Getzinger, Liza Johnson, Elizabeth Allen Rosenbaum, Liz Feldman, Jenée LaMarque"
Merlin,2008,2012,4,7.9,79.0,High,90053,0.682316052013132,"Adventure, Drama, Fantasy","Jeremy Webb, Alice Troughton, David Moore, Justin Molotnikov, Ashley Way, Ed Fraiman, James Hawes, Metin Hüseyin, Alex Pillai, Stuart Orme, Declan O'Dwyer"
Preacher,2016,2019,3,7.9,79.0,High,84784,0.6252378112177625,"Adventure, Comedy, Fantasy","Michael Slovis, Evan Goldberg, Seth Rogen, Wayne Che Yip, Sam Catlin, Michael Morris, John Grillo, Kevin Hooks, Laura Belsey, Iain B. MacDonald, Jonathan Watson, Kate Dennis, Guillermo Navarro, Scott Winant, Craig Zisk, Norberto Barba, Michael Dowse, David Evans, Steph Green, Maja Vrvilo, Millicent Shelton"
Marco Polo,2014,2016,2,7.9,79.0,High,81588,0.5906160504316549,"Action, Adventure, Drama","Daniel Minahan, David Petrarca, Alik Sakharov, John Maybury, Joachim Rønning, Espen Sandberg, Jon Amiel, James McTeigue"
Star Trek: Voyager,1995,2001,6,7.9,79.0,High,80719,0.5812023113443184,"Action, Adventure, Drama","David Livingston, Winrich Kolbe, Allan Kroeker, Michael Vejar, Cliff Bole, Alexander Singer, Terry Windell, Les Landau, LeVar Burton, Jesús Salvador Treviño, James L. Conway, Kim Friedman, Robert Duncan McNeill, Anson Williams, Jonathan Frakes, Robert Scheerer, Marvin V. Rush, Robert Picardo, Kenneth Biller, Nancy Malone, Andrew Robinson, Allan Eastman, John T. Kretchmer, Victor Lobl, Roxann Dawson, John Bruno, Tim Russ, Terrence O'Hara, Gabrielle Beaumont, Allison Liddi-Brown, Peter Lauritson"
Da Vinci's Demons,2013,2015,2,7.9,79.0,High,80238,0.5759917146803266,"Adventure, Biography, Drama","Peter Hoar, M.J. Bassett, David S. Goyer, Jamie Payne, Paul Wilmshurst, Jon Jones, Charles Sturridge, Mark Everest, Alex Pillai, Colin Teague, Justin Molotnikov"
Angel,1999,2004,5,7.9,79.0,High,78119,0.5530369239713898,"Action, Adventure, Drama","James A. Contner, Joss Whedon, David Greenwalt, Tim Minear, Bill Norton, Terrence O'Hara, Skip Schoolnik, Marita Grabiak, Vern Gillum, David Grossman, Michael Grossman, Frederick King Keller, Jefferson Kibbee, David Straiton, Bruce Seth Green, Turi Meyer, Jeffrey Bell, Steven S. DeKnight, Scott McGinnis, R.D. Price, Thomas J. Wright, Michael Lange, David Semel, Tucker Gates, Regis Kimble, Winrich Kolbe, Nick Marck, Krishna Rao, James Whitmore Jr., Sean Astin, David Boreanaz, Ben Edlund, David Fury, John Blush"
Superstore,2015,2021,6,7.9,79.0,High,76310,0.5334403140646099,Comedy,"Victor Nelli Jr., Matt Sohn, Ruben Fleischer, Betsy Thomas, Tristram Shapeero, Geeta Vasant Patel, Todd Biermann, America Ferrera, Ken Whittingham, Ryan Case, Jay Hunter, Rebecca Asher, Jeffrey Blitz, Linda Mendoza, Alex Reid, Michael Spiller, Ben Feldman, Jaime Eliezer Karas, Jackie Clarke, Daniella Eisman, Ross Novie, James Renfroe, Heather Jack, Michael Patrick Jann, Andy Ackerman, Christine Gernon, Alex Hardcastle, Beth McCarthy-Miller, Michael McDonald, Alisa Statman, Jay Chandrasekhar, Bill Purple, Michael Weaver, Jaffar Mahmood, Keith Powell, Phil Traill, Catalina Aguilar Mastretta, Richie Keen, Mark McKinney, Chioke Nassor, Amy York Rubin, Robert Cohen, Kris Lefcoe, Justin Spitzer, Kabir Akhtar, Kim O. Nguyen, Charles Stone III"
